word0,word1,word2,word3,word4,word5,word6,word7,word8
molecule,macromolecule,lipid,triglyceride,,,,,
molecule,macromolecule,lipid,oil,sassafras oil,,,,
molecule,macromolecule,lipid,oil,calamus oil,,,,
molecule,macromolecule,lipid,oil,mustard oil,,,,
molecule,macromolecule,lipid,oil,rape oil,,,,
molecule,macromolecule,lipid,oil,safflower oil,,,,
molecule,macromolecule,lipid,oil,hydnocarpus oil,,,,
molecule,macromolecule,lipid,oil,babassu oil,,,,
molecule,macromolecule,lipid,oil,cohune-nut oil,,,,
molecule,macromolecule,lipid,oil,almond oil,,,,
molecule,macromolecule,lipid,oil,pennyroyal oil,,,,
molecule,macromolecule,lipid,oil,hyssop oil,,,,
molecule,macromolecule,lipid,oil,spike lavender oil,,,,
molecule,macromolecule,lipid,oil,pennyroyal oil,,,,
molecule,macromolecule,lipid,oil,croton oil,,,,
molecule,macromolecule,lipid,oil,fuel oil,gas oil,,,
molecule,macromolecule,lipid,oil,animal oil,drying oil,,,
molecule,macromolecule,lipid,oil,animal oil,blubber,,,
molecule,macromolecule,lipid,oil,animal oil,bone oil,,,
molecule,macromolecule,lipid,oil,animal oil,bone oil,,,
molecule,macromolecule,lipid,oil,animal oil,cod-liver oil,cod oil,,
molecule,macromolecule,lipid,oil,animal oil,lanolin,,,
molecule,macromolecule,lipid,oil,animal oil,fish-liver oil,tuna oil,,
molecule,macromolecule,lipid,oil,animal oil,glyceride,triglyceride,,
molecule,macromolecule,lipid,oil,animal oil,goose grease,,,
molecule,macromolecule,lipid,oil,animal oil,halibut-liver oil,,,
molecule,macromolecule,lipid,oil,animal oil,lard oil,,,
molecule,macromolecule,lipid,oil,animal oil,menhaden oil,,,
molecule,macromolecule,lipid,oil,animal oil,neat's-foot oil,,,
molecule,macromolecule,lipid,oil,animal oil,oleo oil,,,
molecule,macromolecule,lipid,oil,animal oil,porpoise oil,,,
molecule,macromolecule,lipid,oil,animal oil,dolphin oil,,,
molecule,macromolecule,lipid,oil,animal oil,salmon oil,,,
molecule,macromolecule,lipid,oil,animal oil,sardine oil,,,
molecule,macromolecule,lipid,oil,animal oil,seal oil,,,
molecule,macromolecule,lipid,oil,animal oil,shark oil,,,
molecule,macromolecule,lipid,oil,animal oil,sperm oil,,,
molecule,macromolecule,lipid,oil,animal oil,tallow,beef tallow,,
molecule,macromolecule,lipid,oil,animal oil,tallow,dubbin,,
molecule,macromolecule,lipid,oil,animal oil,tallow,mutton tallow,,
molecule,macromolecule,lipid,oil,animal oil,tallow oil,,,
molecule,macromolecule,lipid,oil,animal oil,whale oil,,,
molecule,macromolecule,lipid,oil,animal oil,wool oil,,,
molecule,macromolecule,lipid,oil,camphor oil,,,,
molecule,macromolecule,lipid,oil,grease,axle grease,,,
molecule,macromolecule,lipid,oil,essential oil,ilang-ilang,,,
molecule,macromolecule,lipid,oil,essential oil,bitter almond oil,,,
molecule,macromolecule,lipid,oil,essential oil,attar,attar of roses,,
molecule,macromolecule,lipid,oil,essential oil,clove oil,,,
molecule,macromolecule,lipid,oil,essential oil,costus oil,,,
molecule,macromolecule,lipid,oil,essential oil,eucalyptus oil,,,
molecule,macromolecule,lipid,oil,essential oil,turpentine,,,
molecule,macromolecule,lipid,oil,essential oil,wormwood oil,,,
molecule,macromolecule,lipid,oil,essential oil,linalool,,,
molecule,macromolecule,lipid,oil,mineral oil,,,,
molecule,macromolecule,lipid,oil,motor oil,,,,
molecule,macromolecule,lipid,oil,fixed oil,,,,
molecule,macromolecule,lipid,oil,fusel oil,,,,
molecule,macromolecule,lipid,oil,stand oil,,,,
molecule,macromolecule,lipid,oil,neroli oil,,,,
molecule,macromolecule,lipid,oil,tall oil,,,,
molecule,macromolecule,lipid,oil,petroleum,residual oil,,,
molecule,macromolecule,lipid,oil,shale oil,,,,
molecule,macromolecule,lipid,oil,linseed oil,,,,
molecule,macromolecule,lipid,oil,tung oil,,,,
molecule,macromolecule,lipid,oil,chaulmoogra oil,,,,
molecule,macromolecule,lipid,oil,lemongrass,,,,
molecule,macromolecule,lipid,phospholipid,lecithin,,,,
molecule,macromolecule,lipid,wax,bayberry wax,,,,
molecule,macromolecule,lipid,wax,carnauba wax,,,,
molecule,macromolecule,lipid,wax,candelilla wax,,,,
molecule,macromolecule,lipid,wax,ceresin,,,,
molecule,macromolecule,lipid,wax,floor wax,,,,
molecule,macromolecule,lipid,wax,gondang wax,,,,
molecule,macromolecule,lipid,wax,Japan wax,,,,
molecule,macromolecule,lipid,wax,montan wax,,,,
molecule,macromolecule,lipid,wax,pisang wax,,,,
molecule,macromolecule,lipid,wax,scale wax,,,,
molecule,macromolecule,lipid,wax,ski wax,,,,
molecule,macromolecule,lipid,wax,beeswax,Ghedda wax,,,
molecule,macromolecule,lipid,wax,cerumen,,,,
molecule,macromolecule,lipid,wax,paraffin,,,,
molecule,macromolecule,lipid,wax,spermaceti,,,,
molecule,macromolecule,lipid,wax,vegetable wax,,,,
molecule,macromolecule,lipid,wax,shellac wax,,,,
molecule,macromolecule,nucleic acid,,,,,,
atom,grain,granule,microsome,,,,,
atom,grain,granule,chondrule,,,,,
atom,grain,granule,plastid,chromoplast,,,,
atom,grain,granule,plastid,chloroplast,,,,
atom,grinding,,,,,,,
atom,chylomicron,,,,,,,
atom,flyspeck,,,,,,,
atom,identification particle,Microtaggant,,,,,,
